beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
-0.007557528,0.0062715774,-0.005829594,0.00024781004,-0.0017361854,-0.0017531969,-0.0005772989,0.0028279098,0.00021965697,0.0009251982
-0.01373166,-0.0011106832,-0.0047362586,0.010492068,-0.00056816905,-0.00018709537,-0.00070242805,0.0019664455,0.00085064827,0.00037443475
-0.0010371748,0.010001001,-0.012490866,-0.007970594,-0.0031889046,-0.0035293032,-0.0008191782,0.004363525,-0.00057708763,0.0017972824
0.0052405726,0.011185224,-0.009845381,-0.0060902797,-0.0030462458,-0.0035959333,-0.00090740796,0.00401585,-0.00053415284,0.0015437733
-0.0028274748,-0.002340314,-0.007506906,0.013234995,-0.0011158219,-0.00070281315,-0.0009376785,0.002451634,0.00055500877,0.000625374
0.009324579,0.0042123785,-0.002226091,-0.00048905984,-0.0011000384,-0.0004341741,-0.00014022109,0.0018456078,0.00067790283,0.00038451026
0.0071061533,0.0025409302,-0.0027607856,-0.004580116,-0.0010679907,-0.00050664914,-0.00018150313,0.0017846834,0.00039640756,0.000677285
-0.0069020037,-0.0050077653,-0.004331357,0.00871486,0.0002323742,0.00014568726,-0.00049218046,0.0015014263,0.00050605345,0.00042486924
-0.014609316,-0.011750027,-0.003294156,0.015364118,0.0010224778,0.0013053146,-0.0005821547,0.00081262743,0.0011718075,3.375893e-05
-0.021558682,0.00855985,-0.008183091,-0.016602881,-0.002845631,-0.0034535537,-0.0006105263,0.003346456,-0.00068247085,0.0010658719
-0.0050909687,0.007704989,-0.0063895183,-0.008083882,-0.0029864763,-0.0020736596,-0.00014649867,0.0030978464,-0.0005327916,0.0012876187
0.0010243636,0.019016083,-0.0075703273,-0.024799308,-0.0052553853,-0.004240767,0.00020839158,0.004228311,-0.001401928,0.0017959944
0.0014792662,0.01646116,-0.0056324145,-0.020660112,-0.0049157995,-0.0036732592,0.000108676846,0.0036815263,-0.0010473103,0.001331104
0.004564544,0.017183155,-0.0057662735,-0.020474132,-0.0051799277,-0.0035966733,6.5627624e-05,0.003801103,-0.0009961632,0.0012667244
0.014755135,0.016761556,-0.0037643434,-0.015256692,-0.00482575,-0.0030785832,0.00025787868,0.0034346853,-0.00090601936,0.0011714692
0.025078027,0.014130558,-0.0016520275,-0.008909069,-0.00402019,-0.0017808628,0.0005372602,0.0026964743,-0.00048041774,0.0009792496
0.025198719,0.0010360358,-0.0006858101,0.009884633,-0.0013373041,0.00084176625,0.00027456228,0.00144459,0.00051376875,0.00066312356
0.009917228,-0.005139825,-0.0018560262,0.012974134,-0.00040011026,0.0015029126,3.051362e-05,0.0009237477,0.0008327712,0.00028721069
0.0017618407,-0.013677563,0.004385532,0.027304186,0.0016681019,0.0039413157,-4.903751e-05,-0.0007800813,0.0022069258,-0.0012589192
-0.0030820016,-0.009159154,0.0048635323,0.019151498,0.0012641252,0.0029328205,-0.00017213728,-0.00070741255,0.0021479283,-0.0014338875
0.0016939621,0.00064776,-0.0033056224,0.009878736,-0.0013953018,0.00047697604,-0.00010670361,0.0016230808,0.000981633,-7.7223405e-05
0.0016970467,0.0019288538,-0.00063286256,0.009918852,-0.00062509463,0.00058445113,-5.443243e-05,0.0012081,0.0011419383,-0.00029602065
0.0026424285,-0.0008830605,1.1698343e-05,0.018771622,0.00047411455,0.0012794085,-0.00012550922,0.0007807238,0.0014188531,-0.00039866846
-0.00047500618,0.0042132167,0.0017936314,0.0067811254,0.0002794062,0.00014558446,-4.1204272e-05,0.00083533145,0.0010681591,-0.00023086206
0.00449598,0.0032064477,0.003966459,0.0065008877,-1.0197837e-06,0.00080134475,0.00012453651,0.0004143031,0.0012271499,-0.00045966683
0.009631475,0.0052672,0.0035229651,-0.0008483762,-0.00021001381,9.79536e-05,0.0001638924,0.0007838568,0.00084035646,8.1375474e-05
-0.008462073,-0.0006371578,-0.0028566672,0.011090783,-0.00015088216,0.0002614864,-0.00048332103,0.0014270777,0.0007180503,0.0005475986
-0.004829997,0.0043770997,-0.004447135,0.00037855282,-0.0017151975,-0.0012579941,-0.00016823213,0.0023043926,-0.00027226203,0.0013906418
-0.011206308,0.008592441,-0.004371849,-0.0038689543,-0.0031262976,-0.0022866111,6.9494825e-05,0.0027767594,-0.00089702185,0.0016825164
0.0030542593,0.02083167,-0.0056586647,-0.02123907,-0.0051134885,-0.0048921327,0.00031315128,0.00425203,-0.00217852,0.0027637964
0.007588668,0.021424878,-0.0037989942,-0.02049475,-0.0050973594,-0.0044126,0.0004398768,0.0040661786,-0.0019139029,0.0025598544
0.0010225531,0.02899725,-0.011580226,-0.032703586,-0.0065315785,-0.006978277,3.1088712e-06,0.0057464596,-0.0028086063,0.0037924882
0.0053467955,0.02382804,-0.010542666,-0.020128157,-0.0056015886,-0.005374779,5.7147816e-05,0.0051304367,-0.0021500704,0.0033622894
-0.007358456,0.011007025,-0.009812635,-0.0005448237,-0.0034911435,-0.0026695197,-0.00026250933,0.0039442377,-0.0007702436,0.0024354395
0.009452766,0.025205012,-0.012948298,-0.021719638,-0.005515645,-0.0061834753,-0.00045876368,0.0058813416,-0.0020659198,0.0034197464
0.002645729,0.023094393,-0.012169925,-0.021152342,-0.0049823257,-0.006292479,-0.00068913586,0.0055794097,-0.0018600285,0.0031169753
0.0014116596,0.009640315,-0.007229169,-0.001967242,-0.0022500677,-0.0028032465,-0.00070368417,0.0034875597,-0.00028568634,0.0016836468
-0.008883627,0.009712678,-0.01157583,-0.0062160436,-0.002590331,-0.0029847417,-0.00089942827,0.0041583013,-0.0003812277,0.0017759274
0.00020400248,0.006563072,-0.011193682,-0.0053923223,-0.0024021121,-0.0024870075,-0.0006823443,0.0037418993,-0.00018442259,0.001610534
-0.008577341,0.0014634775,-0.013384898,-0.00017202273,-0.0017264577,-0.0020426768,-0.00087127415,0.0036958067,-0.00014207582,0.0016725336
-0.009873675,-0.0023189401,-0.010791813,0.005468132,-0.0012428961,-0.0018504198,-0.0008703213,0.0029403733,-0.00014385057,0.0015647858
-0.017244278,-0.006425676,-0.009736863,0.007988308,-0.00069094193,-0.0008828419,-0.0009076631,0.0023541672,0.00015043118,0.0010047702
-0.016430022,-0.0045765294,-0.009262134,0.0050886776,-0.0010296408,-0.0010263483,-0.0007146684,0.0025097695,-2.3816829e-05,0.0010137924
-0.012518236,0.0026841601,-0.007319783,-0.009156348,-0.0016620064,-0.0021007683,-0.00043897156,0.0026770823,-0.00051529217,0.0008979661
-0.00197942,0.005721911,-0.0048386315,-0.011022905,-0.0019351507,-0.0021050682,-0.00020139501,0.0025174434,-0.00055658096,0.0009870476
-0.0022527743,0.0056407126,-0.004217888,-0.0045656506,-0.0021715302,-0.0014943522,-0.00016914774,0.0024537777,-0.00026907353,0.0009396104
0.0036311653,0.011229879,-0.0028892485,-0.0095365215,-0.0037204227,-0.0025153866,4.440837e-05,0.0028840469,-0.0007808551,0.0012530244
0.0025324728,0.013049177,-3.7896447e-05,-0.009737456,-0.004264126,-0.0023801257,0.00027008413,0.0025868863,-0.0007125881,0.00092254975
0.007994367,0.011013015,0.0003989013,-0.00539463,-0.0037254645,-0.0018982001,0.00010472676,0.0023375917,-0.00043549517,0.0007901157
0.01201096,0.0056730406,0.00028715562,0.008230602,-0.0025741684,-0.0001773528,-6.863754e-05,0.0017919571,0.00028336968,0.00020085624
0.013191996,-0.006362199,0.0018990412,0.023371302,1.8625433e-06,0.002282918,-0.00029407744,0.00044423697,0.0012904623,-0.0002477693
